Time_s,DetectorVoltage_V,Power_dB,RelativeAmplitude,RelativePower
95.941,0.725,29,0.622300285169159,0.387257644921617
95.941,0.712,28.48,0.586138164514029,0.343557947899875
95.966,0.725,29,0.622300285169159,0.387257644921617
95.966,0.699,27.96,0.552077439280757,0.304789498962798
95.989,0.66,26.4,0.461317574560379,0.212813904598271
95.989,0.712,28.48,0.586138164514029,0.343557947899875
96.009,0.66,26.4,0.461317574560379,0.212813904598271
96.028,0.582,23.28,0.322106879128343,0.103752841581801
96.028,0.686,27.44,0.519995996533516,0.270395836410885
96.051,0.608,24.32,0.363078054770101,0.131825673855641
96.052,0.44,17.6,0.167494287602644,0.0280543363795171
96.073,0.621,24.84,0.385478357665772,0.148593564228701
96.073,0.479,19.16,0.200447202736516,0.040179081084894
96.093,0.207,8.28,0.057279603098583,0.00328095293113119
96.117,0.518,20.72,0.239883291901949,0.0575439937337157
96.117,0.142,5.68,0.0424619563946313,0.00180301774085957
96.138,0.505,20.2,0.225943577022098,0.0510504999975407
96.139,0.259,10.36,0.0727779804536824,0.00529663443891658
96.161,0.466,18.64,0.188799134909629,0.0356451133426244
96.161,0.621,24.84,0.385478357665772,0.148593564228701
96.181,0.401,16.04,0.139958732257262,0.0195884467350599
96.181,0.595,23.8,0.341979442513709,0.116949939101987
96.202,0.311,12.44,0.0924698173938222,0.00855066712884683
96.223,0.569,22.76,0.303389118419427,0.0920449571753171
96.223,0.673,26.92,0.489778819368446,0.239883291901949
96.243,0.544,21.76,0.270395836410884,0.0731139083483418
96.243,0.66,26.4,0.461317574560379,0.212813904598271
96.266,0.699,27.96,0.552077439280757,0.304789498962798
96.266,0.634,25.36,0.409260659730011,0.167494287602644
96.288,0.699,27.96,0.552077439280757,0.304789498962798
96.288,0.712,28.48,0.586138164514029,0.343557947899875
96.313,0.686,27.44,0.519995996533516,0.270395836410885
96.313,0.712,28.48,0.586138164514029,0.343557947899875
96.335,0.712,28.48,0.586138164514029,0.343557947899875
96.335,0.712,28.48,0.586138164514029,0.343557947899875
96.357,0.712,28.48,0.586138164514029,0.343557947899875
96.378,0.673,26.92,0.489778819368446,0.239883291901949
96.378,0.712,28.48,0.586138164514029,0.343557947899875
96.401,0.673,26.92,0.489778819368446,0.239883291901949
96.401,0.595,23.8,0.341979442513709,0.116949939101987
96.424,0.686,27.44,0.519995996533516,0.270395836410885
96.424,0.621,24.84,0.385478357665772,0.148593564228701
96.449,0.466,18.64,0.188799134909629,0.0356451133426244
96.449,0.673,26.92,0.489778819368446,0.239883291901949
96.469,0.505,20.2,0.225943577022098,0.0510504999975407
96.469,0.168,6.72,0.0478630092322639,0.00229086765276777
96.489,0.544,21.76,0.270395836410884,0.0731139083483418
96.489,0.181,7.24,0.0508159442560561,0.0025822601906346
96.51,0.492,19.68,0.212813904598271,0.0452897579903621
96.531,0.285,11.4,0.0820351544329818,0.00672976656284318
96.531,0.44,17.6,0.167494287602644,0.0280543363795171
96.549,0.621,24.84,0.385478357665772,0.148593564228701
96.549,0.375,15,0.124165230759241,0.0154170045294956
96.57,0.595,23.8,0.341979442513709,0.116949939101987
96.588,0.272,10.88,0.0772680585095703,0.00597035286583838
96.588,0.569,22.76,0.303389118419427,0.0920449571753171
96.607,0.66,26.4,0.461317574560379,0.212813904598271
96.627,0.531,21.24,0.254683025258504,0.0648634433548238
96.627,0.647,25.88,0.434510224171572,0.188799134909629
96.647,0.712,28.48,0.586138164514029,0.343557947899875
96.647,0.634,25.36,0.409260659730011,0.167494287602644
96.665,0.699,27.96,0.552077439280757,0.304789498962798
96.688,0.712,28.48,0.586138164514029,0.343557947899875
96.688,0.686,27.44,0.519995996533516,0.270395836410885
96.712,0.712,28.48,0.586138164514029,0.343557947899875
96.712,0.712,28.48,0.586138164514029,0.343557947899875
96.733,0.699,27.96,0.552077439280757,0.304789498962798
96.734,0.712,28.48,0.586138164514029,0.343557947899875
96.755,0.673,26.92,0.489778819368446,0.239883291901949
96.755,0.712,28.48,0.586138164514029,0.343557947899875
96.776,0.686,27.44,0.519995996533516,0.270395836410885
96.776,0.634,25.36,0.409260659730011,0.167494287602644
96.798,0.686,27.44,0.519995996533516,0.270395836410885
96.819,0.634,25.36,0.409260659730011,0.167494287602644
96.819,0.492,19.68,0.212813904598271,0.0452897579903621
96.84,0.647,25.88,0.434510224171572,0.188799134909629
96.84,0.518,20.72,0.239883291901949,0.0575439937337157
96.861,0.142,5.68,0.0424619563946313,0.00180301774085957
96.862,0.556,22.24,0.285759054337495,0.0816582371358593
96.888,0.272,10.88,0.0772680585095703,0.00597035286583838
96.888,0.466,18.64,0.188799134909629,0.0356451133426244
96.909,0.362,14.48,0.116949939101987,0.0136772882559585
96.909,0.388,15.52,0.131825673855641,0.0173780082874938
96.93,0.608,24.32,0.363078054770101,0.131825673855641
96.93,0.298,11.92,0.0870963589956081,0.00758577575029184
96.95,0.569,22.76,0.303389118419427,0.0920449571753171
96.971,0.453,18.12,0.177827941003892,0.0316227766016838
96.971,0.556,22.24,0.285759054337495,0.0816582371358593
96.992,0.66,26.4,0.461317574560379,0.212813904598271
96.992,0.505,20.2,0.225943577022098,0.0510504999975407
97.016,0.647,25.88,0.434510224171572,0.188799134909629
97.016,0.699,27.96,0.552077439280757,0.304789498962798
97.043,0.608,24.32,0.363078054770101,0.131825673855641
97.043,0.699,27.96,0.552077439280757,0.304789498962798
97.067,0.712,28.48,0.586138164514029,0.343557947899875
97.067,0.686,27.44,0.519995996533516,0.270395836410885
97.089,0.725,29,0.622300285169159,0.387257644921617
97.089,0.725,29,0.622300285169159,0.387257644921617
97.11,0.712,28.48,0.586138164514029,0.343557947899875
97.11,0.712,28.48,0.586138164514029,0.343557947899875
97.132,0.673,26.92,0.489778819368446,0.239883291901949
97.132,0.725,29,0.622300285169159,0.387257644921617
