时间(s),电压(V)
17.290,0.751
17.290,0.802
17.308,0.751
17.325,0.647
17.325,0.764
17.344,0.686
17.344,0.466
17.363,0.699
17.379,0.518
17.379,0.336
17.398,0.569
17.416,0.544
17.434,0.582
17.434,0.207
17.452,0.531
17.452,0.673
17.471,0.479
17.490,0.647
17.490,0.388
17.508,0.608
17.526,0.686
17.526,0.582
17.544,0.673
17.563,0.699
17.563,0.647
17.580,0.673
17.599,0.686
17.599,0.660
17.618,0.673
17.635,0.647
17.635,0.647
17.653,0.634
17.671,0.582
17.671,0.621
17.688,0.582
17.707,0.479
17.707,0.582
17.726,0.466
17.726,0.285
17.744,0.466
17.762,0.311
17.762,0.181
17.781,0.324
17.799,0.168
17.799,0.298
17.817,0.168
17.835,0.259
17.835,0.388
17.854,0.220
17.872,0.349
17.872,0.181
17.890,0.324
17.909,0.414
17.909,0.298
17.927,0.388
17.928,0.466
17.946,0.388
17.965,0.453
17.965,0.466
17.983,0.440
18.003,0.479
18.003,0.453
18.021,0.725
18.039,0.479
18.039,0.440
18.058,0.492
18.076,0.453
18.076,0.401
18.095,0.492
18.095,0.440
18.114,0.285
18.132,0.479
18.132,0.324
18.150,0.155
18.168,0.388
18.168,0.168
18.186,0.349
18.205,0.207
18.205,0.311
18.223,0.479
18.241,0.531
18.241,0.466
18.260,0.220
18.278,0.453
18.278,0.556
18.297,0.440
18.314,0.556
18.314,0.608
18.332,0.544
18.332,0.608
18.350,0.621
18.369,0.621
18.369,0.634
18.386,0.621
18.405,0.634
18.405,0.634
18.424,0.621
18.442,0.647
18.442,0.634
18.461,0.544
18.478,0.634
18.478,0.582
18.496,0.440
18.516,0.608
18.516,0.479
18.534,0.181
18.552,0.518
18.552,0.233
18.569,0.440
18.588,0.336
18.588,0.388
18.607,0.569
18.607,0.324
18.624,0.556
18.643,0.220
18.644,0.518
18.662,0.634
18.681,0.492
18.681,0.608
18.699,0.660
18.717,0.595
18.718,0.673
18.736,0.673
18.755,0.673
18.755,0.686
18.772,0.673
18.790,0.699
18.790,0.686
18.810,0.660
18.810,0.699
18.828,0.686
18.846,0.608
18.847,0.673
18.864,0.634
18.883,0.492
18.883,0.647
18.901,0.531
18.920,0.207
18.920,0.569
18.938,0.699
18.956,0.427
18.956,0.388
18.974,0.349
18.993,0.582
18.993,0.246
19.012,0.556
19.031,0.181
19.031,0.518
19.048,0.634
19.048,0.479
19.067,0.621
19.085,0.686
19.085,0.608
19.103,0.686
19.121,0.712
19.121,0.673
19.139,0.712
19.157,0.712
19.157,0.699
19.175,0.712
19.192,0.686
19.192,0.712
19.211,0.699
19.229,0.634
19.229,0.699
19.247,0.647
19.265,0.518
19.265,0.660
19.284,0.544
19.302,0.220
19.302,0.569
19.321,0.324
19.339,0.414
19.339,0.414
19.357,0.336
19.357,0.556
19.375,0.531
19.394,0.518
19.394,0.621
19.411,0.479
19.429,0.595
19.430,0.427
19.448,0.595
19.466,0.608
19.466,0.531
19.484,0.608
19.504,0.608
19.504,0.556
19.522,0.582
19.540,0.569
19.540,0.544
19.559,0.569
19.576,0.518
19.576,0.518
19.595,0.492
19.612,0.414
19.612,0.466
19.630,0.414
19.647,0.298
19.649,0.414
19.666,0.324
19.685,0.220
19.685,0.362
19.702,0.233
19.702,0.349
19.721,0.285
19.739,0.181
19.739,0.388
19.759,0.168
19.776,0.375
19.776,0.505
19.795,0.362
19.812,0.492
19.812,0.324
19.830,0.492
19.849,0.556
19.849,0.466
19.868,0.544
19.885,0.582
19.885,0.544
19.904,0.582
19.923,0.595
19.923,0.595
19.942,0.582
19.942,0.582
19.961,0.595
19.979,0.582
19.979,0.518
20.000,0.595
20.018,0.556
20.018,0.453
20.036,0.556
20.036,0.466
20.054,0.272
20.072,0.660
20.072,0.336
20.090,0.246
20.109,0.362
20.109,0.272
20.127,0.414
20.144,0.181
20.144,0.362
20.163,0.466
20.182,0.298
20.183,0.440
20.201,0.233
20.219,0.414
20.219,0.479
20.238,0.362
20.255,0.440
20.255,0.479
20.274,0.427
20.274,0.453
20.293,0.466
20.311,0.440
20.311,0.453
20.330,0.440
20.348,0.479
20.348,0.479
20.366,0.440
20.384,0.518
20.384,0.492
20.403,0.427
20.421,0.544
20.421,0.466
20.439,0.311
20.457,0.531
20.457,0.375
20.475,0.233
20.493,0.531
20.493,0.168
20.510,0.466
20.528,0.207
20.528,0.427
20.546,0.556
20.565,0.388
20.565,0.544
20.582,0.311
20.600,0.518
20.600,0.595
20.619,0.492
20.637,0.569
20.637,0.621
20.655,0.556
20.674,0.608
20.674,0.634
20.691,0.595
20.691,0.621
20.709,0.608
20.727,0.621
20.727,0.621
20.745,0.569
20.763,0.634
20.763,0.595
